월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
3월 24일,데이지 밤꽃    박하,금영화,Califonia Poppy,희망,아쿠아마린,"영원한 젊음, 행복",그린 쿼츠,감정을 가라앉히다,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#934491,맬로 / 비비드 바이올렛,"직감적, 고상, 주관적",마음의 친구를 원하는 로맨티스트
3월 25일,데이지 밤꽃    박하,덩굴성 식물,Climbing Plant,아름다움,아쿠아마린,"영원한 젊음, 행복",피치 지르콘,고통의 구원,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#B33E5C,와인레드 / 허피 핑크,"주인공의 품격, 개성, 자신",직관력과 위엄으로 이름을 떨치는 예술가
3월 26일,데이지 밤꽃    박하,흰앵초,Primrose,첫사랑,아쿠아마린,"영원한 젊음, 행복",플래티넘,다감한 마음,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#CAE2C6,실버 그린 / 서프 크레스트,"가능성, 행동력, 명석",과감하게 몰두하는 노력가
3월 27일,데이지 밤꽃    박하,칼세올라리아,Calceolaria,도움,아쿠아마린,"영원한 젊음, 행복",퍼플 지르콘,너무 많은 대화,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#BEE0CE,오팔 그린 / 에어로 블루,"미모, 육성, 자기표현",꽃의 생명이 피듯 아름다운 사람
3월 28일,데이지 밤꽃    박하,곷아카시아나무,Robinia Hispida,품위,아쿠아마린,"영원한 젊음, 행복",핑크 다이아몬드,사랑의 도래,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#A7D3CF,페일 아쿠아 / 신밧드,"감사, 교양, 배려",옆에서 신기한 향이 풍기는 사람
3월 29일,데이지 밤꽃    박하,우엉,Arctium,괴롭히지 말아요,아쿠아마린,"영원한 젊음, 행복",그린 다이아몬드,우아,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#A3D3DD,스프레이 그린 / 프렌치 패스,"겸허, 착실함, 전문적",복잡한 문제도 간단하게 해결하는 사람
3월 30일,데이지 밤꽃    박하,금작화,Brrom,청초,아쿠아마린,"영원한 젊음, 행복",엔젤 스킨 코랄,변치 않는 마음,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#49BDF0,파스텔 블루 / 서머 스카이,"트렌드, 열정과 안락함",창작력을 기르는 로맨티스트
3월 31일,데이지 밤꽃    박하,흑종초,Nigella Damascena,꿈길의 애정,아쿠아마린,"영원한 젊음, 행복",아서클레이스,목적달성,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#ECE093,짚색 / 카키,"격려, 감동, 환희와 비애",자유롭게 행동하는 스포츠맨
4월,,,,,,,,,,,,,,,,,,
4월 1일,무화과 수련 복사꽃,아몬드,Almond,진실한 사랑,다이아몬드,"영원한 사랑, 고귀함",하키마 다이아몬드,꿈,마가목,민감,양자리,전쟁의 신 아레스,화성,,#FDEFF2,연벚꽃색 / 라벤더 블러쉬,"세련, 친구, 미소",행복한 분위기로 만드는 로맨티스트
4월 2일,무화과 수련 복사꽃,아네모네,Wind Flower,기대,다이아몬드,"영원한 사랑, 고귀함",셀리스타이트,영혼의 정화,마가목,민감,양자리,전쟁의 신 아레스,화성,,#FBDAC8,셸 핑크 / 칼리,"시적정서, 두뇌명석, 순수",천재적 감성을 갖춘 노력가
4월 3일,무화과 수련 복사꽃,나팔수선화,Daffodil,존경,다이아몬드,"영원한 사랑, 고귀함",제오라이트,재생과 대지의 은혜,마가목,민감,양자리,전쟁의 신 아레스,화성,,#F5A0BD,프쿠시아 핑크 / 카네이션 핑크,"배려, 천진함, 상상력",트렌드를 읽는 감각이 뛰어난 사람
4월 4일,무화과 수련 복사꽃,빨강 아네모네,Wind Flower,그대를 사랑해,다이아몬드,"영원한 사랑, 고귀함",젬실리카,행운과 번영,마가목,민감,양자리,전쟁의 신 아레스,화성,,#E383A4,딥 오키드 핑크 / 코비,"정서, 사교적, 목표",따뜻한 마음으로 가득한 사람
4월 5일,무화과 수련 복사꽃,무화과,Fig-Tree,풍부,다이아몬드,"영원한 사랑, 고귀함",컬러리스 사파이어,"성스러운 힘, 빛나는 지성",마가목,민감,양자리,전쟁의 신 아레스,화성,,#84A2D4,청등꽃색 / 폴로블루,"사람사귐, 정열, 세련",모든 것이 세련된 베스트 드레서
4월 6일,무화과 수련 복사꽃,아도니스,Adonis,영원한 행복,다이아몬드,"영원한 사랑, 고귀함",블루 다이아몬드,만전,마가목,민감,양자리,전쟁의 신 아레스,화성,,#68A9CF,초크 블루 / 픽톤 블루,"천진함, 맑은 시선, 세련",현실에서 유리된 아름다움을 추구하는 사람
4월 7일,무화과 수련 복사꽃,공작고사리,Adiantum,신명,다이아몬드,"영원한 사랑, 고귀함",블라질리아나이트,이지적,마가목,민감,양자리,전쟁의 신 아레스,화성,,#F1F5DC,백합색 / 슈가케인,"다재, 내향성, 창의적",흥미를 품고 다양한 시도를 하는 노력가
4월 8일,무화과 수련 복사꽃,금작화,Broom,박애,다이아몬드,"영원한 사랑, 고귀함",파파라치아 사파이어,빛의 꽃,마가목,민감,양자리,전쟁의 신 아레스,화성,,#69B076,연녹색 / 펀,"희망, 용의주도, 경애",따스한 존재감을 풍기는 사람
4월 9일,무화과 수련 복사꽃,벚나무,Cherry,정신미,다이아몬드,"영원한 사랑, 고귀함",세라사이트,"정신미, 고결함",마가목,민감,양자리,전쟁의 신 아레스,화성,,#FBCA4D,지자색 / 쿠르니코바,"스포츠감, 유려한 동작",상황에 맞춰 정확하게 행동하는 사람
4월 10일,무화과 수련 복사꽃,빙카,Periwinkle,즐거운 추억,다이아몬드,"영원한 사랑, 고귀함",화이트 지르콘,모든 것을 건 마음,마가목,민감,양자리,전쟁의 신 아레스,화성,,#E5A323,펌킨 / 갈리아노,"맑은 눈, 청순, 치밀",젊은 세대의 감성이 뛰어난 선구자
4월 11일,무화과 수련 복사꽃,꽃고비,Blemonium Coeruleum,와주세요,다이아몬드,"영원한 사랑, 고귀함",블루나이트,공격적인 느낌,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#ECDECF,증율색 / 스프링 우드,"노력가, 현실주의, 양기",세상일에 정통한 견실한 장인형
4월 12일,무화과 수련 복사꽃,복사꽃,Peach,사랑의 노예,다이아몬드,"영원한 사랑, 고귀함",핑크 플로라이트,환상적,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#A29779,담갈색 / 탤로우,"전통, 기교, 주장",전통을 중시하는 비기를 소지한 자신가
4월 13일,무화과 수련 복사꽃,페르시아 국화,Golden Wave,경쟁심,다이아몬드,"영원한 사랑, 고귀함",바이올렛 펄,"자존심, 도도함",단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#E8ECE9,프로스티 그레이 / 듀,"낙관적, 밝음, 철학적",풍부한 생활경험이 있는 유머러스한 사람
4월 14일,무화과 수련 복사꽃,흰나팔꽃,Morning-Gloly,넘치는 기쁨,다이아몬드,"영원한 사랑, 고귀함",컬러리스 토파즈,지성을 가진 천재,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#949495,쥐색 / 그레이 수트,"미모, 낭창함, 배려",사랑의 영혼을 매료시키는 선녀같은 사람
4월 15일,무화과 수련 복사꽃,펜오키드,Fen Orchid,훌륭함,다이아몬드,"영원한 사랑, 고귀함",피콕 그린 펄,자연에 대한 사랑,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#D5DAD4,페일 미스트 화이트 / 페퍼민트,"중립, 보수적, 전통",의리와 인정이 두터운 정의감 넘치는 사람
4월 16일,무화과 수련 복사꽃,튤립,Tulipa,아름다운 노동자,다이아몬드,"영원한 사랑, 고귀함",히데나이트,"청정, 겸허",단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#CBD0D3,스카이 그레이 / 링크워터,"온건, 쾌활, 겸손",일을 요령있게 해내는 온건파
4월 17일,무화과 수련 복사꽃,독일창포,German lris,멋진 결혼,다이아몬드,"영원한 사랑, 고귀함",그린 스피넬,"희망, 신앙, 행운",단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#898989,배틀십 그레이 / 수바 그레이,"올곧음, 책임감, 객관적",어떤 걸림돌에도 동요하지 않는 견실한 사람
4월 18일,무화과 수련 복사꽃,자운영,Astragalus,감화,다이아몬드,"영원한 사랑, 고귀함",액서나이트,노력의 지속,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#626063,슬레이트 그레이 / 페도라,"재치, 긍지, 양심",기쁨을 얻기 위해 맹진하는 행동파
4월 19일,무화과 수련 복사꽃,참제비고깔,Larkspur,청명,다이아몬드,"영원한 사랑, 고귀함",바이올렛 지르콘,세속성과 정신성,단풍나무,독립,양자리,전쟁의 신 아레스,화성,,#524E4D,소회색 / 툰드라,"엄숙, 성식, 기략",통찰력과 기량을 같이 겸비한 사람
4월 20일,무화과 수련 복사꽃,배나무,Pear,온화한 애정,다이아몬드,"영원한 사랑, 고귀함",클로러멜라나이트,거짓과 진실,단풍나무,독립,황소자리,사랑과 미의 여신 아프로디테,금성,,#C7DC68,어린싹색 / 와일드 윌로우,"규율, 말투, 애정",맑고 빛나는 감성의 소유자
4월 21일,무화과 수련 복사꽃,수양버들,Weeping Willow,내 가슴의 슬픔,다이아몬드,"영원한 사랑, 고귀함",맨덜루사이트,사랑의 예감,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#D8E698,어린유채색 / 리프,"온후, 성의, 감상적",항상 솔직한 자세로 임하는 사람
4월 22일,무화과 수련 복사꽃,과꽃,China Aster,믿음직한 사랑,다이아몬드,"영원한 사랑, 고귀함",애스트로피라이트,믿는 사랑,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#2AA74B,앵록색 / 샤또 그린,"리더십, 지도자",일하는 것을 좋아하는 사람
4월 23일,무화과 수련 복사꽃,도라지,Balloom-Flower,상냥하고 따뜻함,다이아몬드,"영원한 사랑, 고귀함",디저트 로즈,사랑과 지성,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#88CB9D,석엽색 / 서머 그린,"조화, 순응, 인간관계",사회의 신용을 모으는 착실한 사람
4월 24일,무화과 수련 복사꽃,제라늄,Geranium,결심,다이아몬드,"영원한 사랑, 고귀함",쿤차이트,연인 도래의 조짐,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#A3D49C,스푸라우트 / 그래니 스미스 애플,"우아, 상냥함, 문학",문학에 이끌리는 상냥한 사람
4월 25일,무화과 수련 복사꽃,중국 패모,Gritillaria Thunbergii,위엄,다이아몬드,"영원한 사랑, 고귀함",플라즈마,양자택일의 결단,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#79C288,엘브 / 드 요크,"섬세, 스포츠, 시간",일에 보람을 느끼는 도전자
4월 26일,무화과 수련 복사꽃,논냉이,Cardamine Iyrata,불타는 애정,다이아몬드,"영원한 사랑, 고귀함",스기라이트,영원 불변한 사랑,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#79C266,딥 피 그린 / 맨티드,"향상심, 봉사, 완성",재능을 갈고 닦는 것을 잊지 않는 노력가
4월 27일,무화과 수련 복사꽃,수련,Water Lily,청순한 마음,다이아몬드,"영원한 사랑, 고귀함",카넬리안,명석한 사고,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#00A968,에메랄드 그린 / 제이드,"인생, 경험, 단련",꿈을 향해 도전하는사람
4월 28일,무화과 수련 복사꽃,빨간 앵초,Primrose,비할바 없는 아름다움,다이아몬드,"영원한 사랑, 고귀함",킴버라이트,사랑의 수호,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#00947A,터쿼이즈 그린 / 옵저베이토리,"성숙, 밸런스, 창의",다양한 계획을 만들어내는 아이디어맨
4월 29일,무화과 수련 복사꽃,동백나무,Camellia,매력,다이아몬드,"영원한 사랑, 고귀함",로드스톤,시종일관,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#00A6AF,연옥색 / 본디 블루,"천진함, 신비성, 치유",천진한 마음의 소유자
4월 30일,무화과 수련 복사꽃,금사술나무,Golden-Chain,슬픈 아름다움,다이아몬드,"영원한 사랑, 고귀함",실리마나이트,경고,호두나무,정열,황소자리,사랑과 미의 여신 아프로디테,금성,,#00B2BC,애저 블루 / 아이리스 블루,"협조, 행동, 성장",성장하는 사람
5월,,,,,,,,,,,,,,,,,,
5월 1일,"민들레 라일락 무릇
",카우슬립 앵초,Cowslip,젊은 날의 슬픔,에메랄드,"행운, 행복, 친절",아마조나이트,시기 도래,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#009B9F,터쿼이즈 / 페르시안 그린,"기민, 서정성",누구에게나 사랑받는 인기인
5월 2일,"민들레 라일락 무릇
",미아리아재비,Butter Cup,천진난만함,에메랄드,"행운, 행복, 친절",옐로우 베릴,견디는 사랑,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#009854,말라카이트 그린 / 샴록 그린,"정열적, 유머러스, 정숙",사교적이지만 선동을 싫어하는 자연파
5월 3일,"민들레 라일락 무릇
",민들레,Dandelion,신탁,에메랄드,"행운, 행복, 친절",그린 지르콘,평화의 소원,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#01686D,틸 그린 / 블루 라군,"대지, 정서적, 목가적",맑은 시냇가를 동경하는 목가적인 사람
5월 4일,"민들레 라일락 무릇
",딸기,Strawberry,존중과 애정,에메랄드,"행운, 행복, 친절",포스테라이트,위대한 힘,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#014127,쇠오리색 / 브리티시 레이싱 그린,"재생능력, 경영력,쇄신력",정정당당한 키퍼슨
5월 5일,"민들레 라일락 무릇
",은방울꽃,Maylily,섬세함,에메랄드,"행운, 행복, 친절",레드 크랄,어린 마음,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#BCE2E8,물빛색 / 오나호,"분방, 동찰, 주먹",이념을 구현화할 수 있는 예술가
5월 6일,"민들레 라일락 무릇
",비단향나무꽃,Stock,영원한 아름다움,에메랄드,"행운, 행복, 친절",아이드크레이스,약속,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#70C6F5,포겟 미 낫 블루 / 마야블루,"직관, 상냥함, 아이디어",재능을 발휘하는 여성스러운 사람
5월 7일,"민들레 라일락 무릇
",딸기,Strawberry,사랑과 존경,에메랄드,"행운, 행복, 친절",클리다이트,마음의 성장,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#4C6CB3,군청색 / 산 마리노,"사려깊음, 규율, 낭창함",칭찬을 받는 마돈나
5월 8일,"민들레 라일락 무릇
",수련,Water Lily,청순한 마음,에메랄드,"행운, 행복, 친절",에메랄드 캣츠 아이,상상력,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#316745,천세록 / 그린 피,"정중, 인내, 겸손",숙고하고 발언하는 신중파
5월 9일,"민들레 라일락 무릇
",겹벚꽃,Prunus,"정숙, 단아함",에메랄드,"행운, 행복, 친절",블랙 펄,조용한 강인함,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#2CB232,패러키트 그린 / 라임 그린,"조화, 밸런스",조화와 밸런스를 갖춘 행동파
5월 10일,"민들레 라일락 무릇
",꽃창포,Flag Iris,우아한 마음,에메랄드,"행운, 행복, 친절",로빈스 에그 블루,해방된 마음,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#F5F6CA,에그셀 / 미모사,"소녀, 감상적, 관대",장난스런 사랑에 빠지지 않는 야무진 사람
5월 11일,"민들레 라일락 무릇
",사과,Apple,유혹,에메랄드,"행운, 행복, 친절",레이스 아게이트,침착한 용기,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#D1DE4C,레터스 그린 / 맨즈,"도전, 수다쟁이",실패를 각오하고 새로운 일에 도전하는 사람
5월 12일,"민들레 라일락 무릇
",라일락,Lilac,사랑의 싹,에메랄드,"행운, 행복, 친절",카콕서나이트,의식의 도달,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#E3E548,샤르트뢰즈 옐로 / 스타쉽,"미식가, 사교적, 전원적",성실한 인품과 사교성을 겸비한 사람
5월 13일,"민들레 라일락 무릇
",산사나무,Hawthorn,유일한 사랑,에메랄드,"행운, 행복, 친절",아이보리,"청순, 윤리적 힘","미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#E4DC8A,마른풀색 / 프림로즈,"이해력, 아이디어",자신의 생각을 정확하게 말할 수 있는 사람
5월 14일,"민들레 라일락 무릇
",매발톱꽃,Columbine,승리의 맹세,에메랄드,"행운, 행복, 친절",블루 그린 지르콘,떠나가는 고통,"미루나무
(포플러나무)",불확실,황소자리,사랑과 미의 여신 아프로디테,금성,,#72640C,올리브 / 유컨 골드,"자연, 상냥함",꽃이나 풀을 키우는 기쁨을 아는 자연애호가
5월 15일,"민들레 라일락 무릇
",물망초,Forget-me-not),진실한 사랑,에메랄드,"행운, 행복, 친절",레드 제나이트,결단력,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#D0C67C,콜로니얼 옐로 / 윈터 헤이즐,"양심, 향상심, 체계화",항상 지식을 모으는 향상심으로 가득찬 사람
5월 16일,"민들레 라일락 무릇
",조팝나물,Hieracium,선언,에메랄드,"행운, 행복, 친절",텍타이트,자유,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#A49627,페일 머스터드 / 럭키,"올곧음, 세심, 강한 마음",견실하고 완고한 기질의 명인 타입
5월 17일,"민들레 라일락 무릇
",노랑 튤립,Tulipa,사랑의 표시,에메랄드,"행운, 행복, 친절",퍼플 사파이어,첫사랑의 추억,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#8D6F2F,골든 오커 / 콘 하비스트,"명민, 뛰어남, 동찰",자신의 생각을 굽히지 않는 완고한 사람
5월 18일,"민들레 라일락 무릇
",옥슬립 앵초,Oxlip,첫사랑,에메랄드,"행운, 행복, 친절",고제나이트,기품,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#464646,올리브차색 / 차콜,"정확한 발언, 학식, 보수",지식이 풍부한 온건파
5월 19일,"민들레 라일락 무릇
",아리스타타,Aristata,아름다움의 소류자,에메랄드,"행운, 행복, 친절",노제라이트,위기를 극복하다,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#494A41,천세차 / 헤비 메타,"중립, 공평, 밸런스",어떤 문제도 대응하는 뛰어난 사람
5월 20일,"민들레 라일락 무릇
",괭이밥,Wood Sorrel,빛나는 마음,에메랄드,"행운, 행복, 친절",자라타이트,내면의 힘,밤나무,정직,황소자리,사랑과 미의 여신 아프로디테,금성,,#8CCAB0,딥 아쿠아 / 비스타 블루,"감상적, 아름다운 용모",센티멘탈한 행복의 여식
5월 21일,"민들레 라일락 무릇
",담홍색 참제비고깔,Larkspur,자유,에메랄드,"행운, 행복, 친절",오퍼라이즈드 우드,융합과 동조,밤나무,정직,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#47885E,녹청색 / 코모,"두뇌명석, 기교, 적응",항상 자극과 감동을 추구하는 긍정적인 사람
5월 22일,"민들레 라일락 무릇
",귀고리꽃,Ear Drops,열렬한 마음,에메랄드,"행운, 행복, 친절",덴드리틱 쿼프,만족스러운 성장,밤나무,정직,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#036122,스푸르스 그린 / 크루소,"정직, 성실, 밸런스",대가없는 사랑으로 넘치는 인정많은 사람
5월 23일,"민들레 라일락 무릇
",풀의 싹,Leaf Buds,첫사랑의 추억,에메랄드,"행운, 행복, 친절",앤드라다이트,충성심,밤나무,정직,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#034415,보틀 그린 / 브리티시 레이싱 그린,"자연, 개성, 관용",낭랑하고 남을 꾸짖지 않는 마음 넓은 사람
5월 24일,"민들레 라일락 무릇
",헬리오토로프,Heliotorope,사랑이여 영원하라,에메랄드,"행운, 행복, 친절",아듀라리아,계획,밤나무,정직,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#264939,사이프러스 그린 / 보틀 그린,"조화, 배려, 정리",모두에게서 신뢰받는 누님 타임
5월 25일,"민들레 라일락 무릇
",삼색제비꽃,Pansy,순애,에메랄드,"행운, 행복, 친절",블루 앰버,조용히 타오르는 마음,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FACE9D,네이플즈 옐로 / 피치 오렌지,"낭랑함, 순풍만범",남을 잘 돌보며 사랑받는 인기인
5월 26일,"민들레 라일락 무릇
",올리브나무,Olive,평화,에메랄드,"행운, 행복, 친절",코퍼,사랑의 노례,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F9CC77,마리 골드 옐로 / 그랜디스,"생명력, 정서적, 정열",태양 같은 밝고 건강미 넘치는 미인
5월 27일,"민들레 라일락 무릇
",데이지,Daisy,순수한 마음,에메랄드,"행운, 행복, 친절",바데라이트,인내,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F8B500,황매화색 / 셀렉티브 옐로,"씩씩함, 영지, 해방",밝고 온화하며 자유를 사랑하는 사람
5월 28일,"민들레 라일락 무릇
",박하,Mint,미덕,에메랄드,"행운, 행복, 친절",화이트 칼세도니,우아,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#B36029,올드 골드 / 파이어리 오렌지,"전통계승, 관찰력",일을 즐길 줄 아는 야무진 사람
5월 29일,"민들레 라일락 무릇
",토끼풀,Clover,쾌활,에메랄드,"행운, 행복, 친절",잘로스톡,행운의승리,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7A5347,커피 브라운 / 아이언 스톤,"규율, 모범, 자신",항상 위를 노릴 수 있는 기량을 갖춘 사람
5월 30일,"민들레 라일락 무릇
",보랏빛 라일락,Lilac,사랑의 싹이 트다,에메랄드,"행운, 행복, 친절",차보라이트,영향력,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#E8D3D1,회벚꽃색 / 바닐라 아이스,"로맨티스트, 지식",우아하고 세련된 윤곽의 소유자
5월 31일,"민들레 라일락 무릇
",무릇,Scilla,강한 자제력,에메랄드,"행운, 행복, 친절",스모키 쿼츠,안식,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F0908D,연홍색 / 스윗 핑크,"교양, 숭고, 재원",일을 착착 처리하는 능력자
6월,,,,,,,,,,,,,,,,,,
6월 1일,장미 자스민 토끼풀,장미,Madien Blush Rose,나의 마음 그대만이 아네,진주,"순결, 부귀, 건강",컬러 체인지 사파이어,양면성,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#BEA2CA,페일 크로커스 / 위스테리아,"여성스러움, 자만",품위를 갖춘 여성 중의 여성
6월 2일,장미 자스민 토끼풀,빨강 매발톱꽃,Columbine,솔직,진주,"순결, 부귀, 건강",클리어 앰버,꿈의 실현,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7058A3,제비꽃색 / 스캠피,"변덕, 매력적",결코 아양떨지 않는 품격 높은 여성
6월 3일,장미 자스민 토끼풀,아마,Plax,감사,진주,"순결, 부귀, 건강",페나사이트,기분 일소,사시나무,야망,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#5C1767,푸르푸르 / 세이안스,"느긋함, 진리, 고독",항상 밸런스를 명심하는 사람
6월 4일,장미 자스민 토끼풀,장비,Damaskrose,아름답게 빛나는 얼굴 모습,진주,"순결, 부귀, 건강",오돈라이트,공격과 방어,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F7F7D9,페일 화이트 릴리 / 힌트 오브 옐로,"천진함, 풍부한 재능, 자극",어릴 때로 되돌아가고 싶은 순진한 마음의 소유자
6월 5일,장미 자스민 토끼풀,메리골드,Marigold,가련한 애정,진주,"순결, 부귀, 건강",알렉산드라이트,양면성,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#DDEAB2,페일 프레쉬 그린 / 터스크,"규칙적, 역경에 강함",리듬감 있는 생활을 즐기는 사람
6월 6일,장미 자스민 토끼풀,노랑 붓꽃,Yellow Water Flag,믿는 자의 행복,진주,"순결, 부귀, 건강",실리시피어드우드,융합과 변화,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#E0DE94,멜론 옐로 / 프림 로즈,"인도주의, 서비스정신",인간관계를 소중히 하는 평온한 사람
6월 7일,장미 자스민 토끼풀,슈미트티아나,Schmidtiana,사모하는 마음,진주,"순결, 부귀, 건강",핑크 펄,인내심 강한 사랑,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#657D61,옐름 그린 / 핀란디아,"청렴결백, 정신력",커뮤니케이션이 특기인 국제파
6월 8일,장미 자스민 토끼풀,재스민,Jasmine,사랑스러움,진주,"순결, 부귀, 건강",새니딘,초능력과의 융합,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#665A1A,컬러 골드 / 코스타 델 솔,"애정, 밸런스, 뛰어난 어학",타인의 의견이나 행동에 관용적이 사람
6월 9일,장미 자스민 토끼풀,스위트피,Sweet Pea,우아한 추억,진주,"순결, 부귀, 건강",우렉사이트,두뇌 명석,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FFF8A8,크림색 / 샬리마,"몸가짐, 세련, 품격",용모가 주위의 주목을 모으는 품격있는 사람
6월 10일,장미 자스민 토끼풀,수염패랭이꽃,Sweet William,의협심,진주,"순결, 부귀, 건강",쿼츠,"조화, 통합, 강화",자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FFF352,레몬 옐로 / 패리스 데이지,"밝음, 현실, 경영력",밝고 주위를 기운 나게 하는 자신가
6월 11일,장미 자스민 토끼풀,중국패모,Fritillaria Thunbergii,위엄,진주,"순결, 부귀, 건강",화이트 래브라도라이트,좋은 소문,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F6D700,황수선화색 / 스쿨 버스 옐로,"학문, 연구개발, 기획력",가장 앞에서 연구를 즐기는 정열가
6월 12일,장미 자스민 토끼풀,레제다 오도라타,Reseda Odorata,매력,진주,"순결, 부귀, 건강",마베 펄,매력,자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FAC559,샌프란 옐로 / 골든 타이노이,"체력, 용모수려",밸런스 있는 식사를 즐기는 사람
6월 13일,장미 자스민 토끼풀,디기탈리스,Fox Glove,가슴 속의 생가,진주,"순결, 부귀, 건강",우바로바이트,"소심, 마음을 빼앗는 기질",자작나무,영감,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FCC800,해바라기색 / 탄저린 옐로,"수다쟁이, 건강함, 향상심",희망에 가슴이 부푼 밝은 사람
